iso3c,country,date,confirmed,deaths,recovered
EGY,Egypt,22/01/2020,0,0,0
EGY,Egypt,23/01/2020,0,0,0
EGY,Egypt,24/01/2020,0,0,0
EGY,Egypt,25/01/2020,0,0,0
EGY,Egypt,26/01/2020,0,0,0
EGY,Egypt,27/01/2020,0,0,0
EGY,Egypt,28/01/2020,0,0,0
EGY,Egypt,29/01/2020,0,0,0
EGY,Egypt,30/01/2020,0,0,0
EGY,Egypt,31/01/2020,0,0,0
EGY,Egypt,1/02/2020,0,0,0
EGY,Egypt,2/02/2020,0,0,0
EGY,Egypt,3/02/2020,0,0,0
EGY,Egypt,4/02/2020,0,0,0
EGY,Egypt,5/02/2020,0,0,0
EGY,Egypt,6/02/2020,0,0,0
EGY,Egypt,7/02/2020,0,0,0
EGY,Egypt,8/02/2020,0,0,0
EGY,Egypt,9/02/2020,0,0,0
EGY,Egypt,10/02/2020,0,0,0
EGY,Egypt,11/02/2020,0,0,0
EGY,Egypt,12/02/2020,0,0,0
EGY,Egypt,13/02/2020,0,0,0
EGY,Egypt,14/02/2020,1,0,0
EGY,Egypt,15/02/2020,1,0,0
EGY,Egypt,16/02/2020,1,0,0
EGY,Egypt,17/02/2020,1,0,0
EGY,Egypt,18/02/2020,1,0,0
EGY,Egypt,19/02/2020,1,0,0
EGY,Egypt,20/02/2020,1,0,0
EGY,Egypt,21/02/2020,1,0,0
EGY,Egypt,22/02/2020,1,0,0
EGY,Egypt,23/02/2020,1,0,0
EGY,Egypt,24/02/2020,1,0,0
EGY,Egypt,25/02/2020,1,0,0
EGY,Egypt,26/02/2020,1,0,0
EGY,Egypt,27/02/2020,1,0,0
EGY,Egypt,28/02/2020,1,0,1
EGY,Egypt,29/02/2020,1,0,1
EGY,Egypt,1/03/2020,2,0,1
EGY,Egypt,2/03/2020,2,0,1
EGY,Egypt,3/03/2020,2,0,1
EGY,Egypt,4/03/2020,2,0,1
EGY,Egypt,5/03/2020,3,0,1
EGY,Egypt,6/03/2020,15,0,1
EGY,Egypt,7/03/2020,15,0,1
EGY,Egypt,8/03/2020,49,1,1
EGY,Egypt,9/03/2020,55,1,1
EGY,Egypt,10/03/2020,59,1,1
EGY,Egypt,11/03/2020,60,1,27
EGY,Egypt,12/03/2020,67,1,27
EGY,Egypt,13/03/2020,80,2,27
EGY,Egypt,14/03/2020,109,2,27
EGY,Egypt,15/03/2020,110,2,21
EGY,Egypt,16/03/2020,150,2,27
EGY,Egypt,17/03/2020,196,4,32
EGY,Egypt,18/03/2020,196,6,32
EGY,Egypt,19/03/2020,256,6,32
EGY,Egypt,20/03/2020,285,8,39
EGY,Egypt,21/03/2020,294,10,41
EGY,Egypt,22/03/2020,327,14,56
EGY,Egypt,23/03/2020,366,19,56
EGY,Egypt,24/03/2020,402,20,80
EGY,Egypt,25/03/2020,456,21,95
EGY,Egypt,26/03/2020,495,24,102
EGY,Egypt,27/03/2020,536,30,116
EGY,Egypt,28/03/2020,576,36,121
EGY,Egypt,29/03/2020,609,40,132
EGY,Egypt,30/03/2020,656,41,150
EGY,Egypt,31/03/2020,710,46,157
EGY,Egypt,1/04/2020,779,52,179
EGY,Egypt,2/04/2020,865,58,201
EGY,Egypt,3/04/2020,985,66,216
EGY,Egypt,4/04/2020,1070,71,241
EGY,Egypt,5/04/2020,1173,78,247
EGY,Egypt,6/04/2020,1322,85,259
EGY,Egypt,7/04/2020,1450,94,276
EGY,Egypt,8/04/2020,1560,103,305
EGY,Egypt,9/04/2020,1699,118,348
EGY,Egypt,10/04/2020,1794,135,384
EGY,Egypt,11/04/2020,1939,146,426
EGY,Egypt,12/04/2020,2065,159,589
EGY,Egypt,13/04/2020,2190,164,589
EGY,Egypt,14/04/2020,2350,178,589
EGY,Egypt,15/04/2020,2505,183,589
EGY,Egypt,16/04/2020,2673,196,596
EGY,Egypt,17/04/2020,2844,205,646
EGY,Egypt,18/04/2020,3032,224,701
EGY,Egypt,19/04/2020,3144,239,732
EGY,Egypt,20/04/2020,3333,250,821
EGY,Egypt,21/04/2020,3490,264,870
EGY,Egypt,22/04/2020,3659,276,935
EGY,Egypt,23/04/2020,3891,287,1004
EGY,Egypt,24/04/2020,4092,294,1075
EGY,Egypt,25/04/2020,4319,307,1114
EGY,Egypt,26/04/2020,4534,317,1176
EGY,Egypt,27/04/2020,4782,337,1236
EGY,Egypt,28/04/2020,5042,359,1304
EGY,Egypt,29/04/2020,5268,380,1335
EGY,Egypt,30/04/2020,5537,392,1381
EGY,Egypt,1/05/2020,5895,406,1460
EGY,Egypt,2/05/2020,6193,415,1522
EGY,Egypt,3/05/2020,6465,429,1562
EGY,Egypt,4/05/2020,6813,436,1632
EGY,Egypt,5/05/2020,7201,452,1730
EGY,Egypt,6/05/2020,7588,469,1815
EGY,Egypt,7/05/2020,7981,482,1887
EGY,Egypt,8/05/2020,8476,503,1945
EGY,Egypt,9/05/2020,8964,514,2002
EGY,Egypt,10/05/2020,9400,525,2075
EGY,Egypt,11/05/2020,9746,533,2172
EGY,Egypt,12/05/2020,10093,544,2326
EGY,Egypt,13/05/2020,10431,556,2486
EGY,Egypt,14/05/2020,10829,571,2626
EGY,Egypt,15/05/2020,11228,592,2799
EGY,Egypt,16/05/2020,11719,612,2950
EGY,Egypt,17/05/2020,12229,630,3172
EGY,Egypt,18/05/2020,12764,645,3440
EGY,Egypt,19/05/2020,13484,659,3742
EGY,Egypt,20/05/2020,14229,680,3994
EGY,Egypt,21/05/2020,15003,696,4217
EGY,Egypt,22/05/2020,15786,707,4374
EGY,Egypt,23/05/2020,16513,735,4628
EGY,Egypt,24/05/2020,17265,764,4807
EGY,Egypt,25/05/2020,17967,783,4900
EGY,Egypt,26/05/2020,18756,797,5027
EGY,Egypt,27/05/2020,19666,816,5205
EGY,Egypt,28/05/2020,20793,845,5359
EGY,Egypt,29/05/2020,22082,879,5511
EGY,Egypt,30/05/2020,23449,913,5693
EGY,Egypt,31/05/2020,24985,959,6037
EGY,Egypt,1/06/2020,26384,1005,6447
EGY,Egypt,2/06/2020,27536,1052,6827
EGY,Egypt,3/06/2020,28615,1088,7350
EGY,Egypt,4/06/2020,29767,1126,7756
EGY,Egypt,5/06/2020,31115,1166,8158
EGY,Egypt,6/06/2020,32612,1198,8538
EGY,Egypt,7/06/2020,34079,1237,8961
EGY,Egypt,8/06/2020,35444,1271,9375
EGY,Egypt,9/06/2020,36829,1306,9786
EGY,Egypt,10/06/2020,38284,1342,10289
EGY,Egypt,11/06/2020,39726,1377,10691
EGY,Egypt,12/06/2020,41303,1422,11108
