GeoName,2019
United States,3045
Alabama,2441
Alaska,3683
Arizona,3090
Arkansas,2116
California,3780
Colorado,3821
Connecticut,2795
Delaware,2994
District of Columbia,4271
Florida,3491
Georgia,2811
Hawaii,2575
Idaho,2390
Illinois,3074
Indiana,2368
Iowa,2325
Kansas,2351
Kentucky,2376
Louisiana,2863
Maine,3246
Maryland,3207
Massachusetts,3867
Michigan,2482
Minnesota,2629
Mississippi,2119
Missouri,2619
Montana,3088
Nebraska,2448
Nevada,1906
New Hampshire,3102
New Jersey,2777
New Mexico,2867
New York,3874
North Carolina,2685
North Dakota,2926
Ohio,2490
Oklahoma,2598
Oregon,3199
Pennsylvania,2623
Rhode Island,4023
South Carolina,2907
South Dakota,2688
Tennessee,2871
Texas,2993
Utah,2564
Vermont,3318
Virginia,3010
Washington,3195
West Virginia,2398
Wisconsin,2533
Wyoming,3691
New England,3472
Mideast,3253
Great Lakes,2634
Plains,2540
Southeast,2899
Southwest,2967
Rocky Mountain,3220
Far West,3525
