iso3c,country,date,confirmed,deaths,recovered,total_tests,region,income,gdp_capita
QAT,Qatar,22/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,23/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,24/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,25/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,26/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,27/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,28/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,29/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,30/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,31/01/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,1/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,2/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,3/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,4/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,5/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,6/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,7/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,8/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,9/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,10/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,11/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,12/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,13/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,14/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,15/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,16/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,17/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,18/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,19/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,20/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,21/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,22/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,23/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,24/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,25/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,26/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,27/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,28/02/2020,0,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,29/02/2020,1,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,1/03/2020,3,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,2/03/2020,3,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,3/03/2020,7,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,4/03/2020,8,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,5/03/2020,8,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,6/03/2020,8,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,7/03/2020,8,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,8/03/2020,15,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,9/03/2020,18,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,10/03/2020,24,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,11/03/2020,262,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,12/03/2020,262,0,0,5309,Middle East & North Africa,High income,59923.95966
QAT,Qatar,13/03/2020,320,0,0,NA,Middle East & North Africa,High income,59923.95966
QAT,Qatar,14/03/2020,337,0,4,6788,Middle East & North Africa,High income,59923.95966
QAT,Qatar,15/03/2020,401,0,4,7950,Middle East & North Africa,High income,59923.95966
QAT,Qatar,16/03/2020,439,0,4,8375,Middle East & North Africa,High income,59923.95966
QAT,Qatar,17/03/2020,439,0,4,8547,Middle East & North Africa,High income,59923.95966
QAT,Qatar,18/03/2020,452,0,4,8873,Middle East & North Africa,High income,59923.95966
QAT,Qatar,19/03/2020,460,0,4,9460,Middle East & North Africa,High income,59923.95966
QAT,Qatar,20/03/2020,470,0,10,9916,Middle East & North Africa,High income,59923.95966
QAT,Qatar,21/03/2020,481,0,27,10358,Middle East & North Africa,High income,59923.95966
QAT,Qatar,22/03/2020,494,0,33,10857,Middle East & North Africa,High income,59923.95966
QAT,Qatar,23/03/2020,501,0,33,11354,Middle East & North Africa,High income,59923.95966
QAT,Qatar,24/03/2020,526,0,41,11531,Middle East & North Africa,High income,59923.95966
QAT,Qatar,25/03/2020,537,0,41,12258,Middle East & North Africa,High income,59923.95966
QAT,Qatar,26/03/2020,549,0,43,13681,Middle East & North Africa,High income,59923.95966
QAT,Qatar,27/03/2020,562,0,43,14845,Middle East & North Africa,High income,59923.95966
QAT,Qatar,28/03/2020,590,1,45,16582,Middle East & North Africa,High income,59923.95966
QAT,Qatar,29/03/2020,634,1,48,18877,Middle East & North Africa,High income,59923.95966
QAT,Qatar,30/03/2020,693,1,51,20058,Middle East & North Africa,High income,59923.95966
QAT,Qatar,31/03/2020,781,2,62,22349,Middle East & North Africa,High income,59923.95966
QAT,Qatar,1/04/2020,835,2,71,24825,Middle East & North Africa,High income,59923.95966
QAT,Qatar,2/04/2020,949,3,72,26260,Middle East & North Africa,High income,59923.95966
