Entity,Code,Day,people_vaccinated,145608-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,8200,
Afghanistan,AFG,2021-03-16,54000,
Afghanistan,AFG,2021-04-07,120000,
Afghanistan,AFG,2021-04-22,240000,
Afghanistan,AFG,2021-05-11,448878,
Afghanistan,AFG,2021-05-20,470341,
Afghanistan,AFG,2021-05-24,476367,
Afghanistan,AFG,2021-05-26,479372,
Afghanistan,AFG,2021-05-27,479574,
Afghanistan,AFG,2021-05-30,480226,
Afghanistan,AFG,2021-06-02,481690,
Afghanistan,AFG,2021-06-03,481800,
Afghanistan,AFG,2021-06-08,482952,
Afghanistan,AFG,2021-06-14,484737,
Afghanistan,AFG,2021-06-22,582128,
Afghanistan,AFG,2021-06-27,649434,
Afghanistan,AFG,2021-06-30,699200,
Afghanistan,AFG,2021-07-05,726349,
Afghanistan,AFG,2021-07-07,735213,
Afghanistan,AFG,2021-07-11,742934,
Afghanistan,AFG,2021-08-20,770542,
Afghanistan,AFG,2021-08-31,773002,
Africa,,2021-01-09,0,
Africa,,2021-01-13,2000,
Africa,,2021-01-15,4000,
Africa,,2021-01-16,7000,
Africa,,2021-01-19,10976,
Africa,,2021-01-20,13163,
Africa,,2021-01-22,16890,
Africa,,2021-01-23,18353,
Africa,,2021-01-24,18353,
Africa,,2021-01-25,19889,
Africa,,2021-01-26,22712,
Africa,,2021-01-27,25587,
Africa,,2021-01-28,28779,
Africa,,2021-01-29,30861,
Africa,,2021-01-30,32206,
Africa,,2021-01-31,32206,
Africa,,2021-02-01,36631,
Africa,,2021-02-02,37836,
Africa,,2021-02-03,38746,
Africa,,2021-02-04,38746,
Africa,,2021-02-05,38746,
Africa,,2021-02-06,39248,
Africa,,2021-02-08,39373,
Africa,,2021-02-09,39382,
Africa,,2021-02-10,39385,
Africa,,2021-02-11,39611,
Africa,,2021-02-12,39611,
Africa,,2021-02-13,43458,
Africa,,2021-02-15,43467,
Africa,,2021-02-16,43474,
Africa,,2021-02-17,47134,
Africa,,2021-02-18,50215,
Africa,,2021-02-19,2487572,
Africa,,2021-02-20,2581895,
Africa,,2021-02-21,2588660,
Africa,,2021-02-22,2700632,
Africa,,2021-02-23,2799750,
Africa,,2021-02-24,3091099,
Africa,,2021-02-25,3367981,
Africa,,2021-02-26,3557825,
Africa,,2021-02-27,3681069,
Africa,,2021-02-28,3688796,
Africa,,2021-03-01,3834895,
Africa,,2021-03-02,3934943,
Africa,,2021-03-03,4039134,
Africa,,2021-03-04,4132764,
Africa,,2021-03-05,4283815,
Africa,,2021-03-06,4409872,
Africa,,2021-03-07,4450882,
Africa,,2021-03-08,4724802,
Africa,,2021-03-09,4799463,
Africa,,2021-03-10,5002177,
Africa,,2021-03-11,5072638,
Africa,,2021-03-12,5129777,
Africa,,2021-03-13,5286646,
